65,44824264,0,0,0,0
529,44850488,0,0,0,0
387,44835296,1812,39,1812,39
483,44817062,1860,39,1860,39
375,44912138,3490,76,3490,76
431,44922806,19537,427,19537,427
374,44890828,14007,311,14007,311
420,45081418,15806,348,15806,348
433,44977292,35136,770,35136,770
354,44971178,32891,720,32891,720
419,44921200,43573,949,43573,949
408,45019406,36812,785,36812,785
437,44688570,41183,908,41183,908
427,44376292,42516,920,42516,920
533,44504004,36725,809,36725,809
380,44500860,29136,641,29136,641
487,44419286,34603,772,34603,772
2868,44561536,19653,429,19653,429
1935,44512598,15423,349,15423,349
458,44453420,23309,503,23309,503
10322,44531158,23527,537,23527,537
8639,44544638,33940,729,33940,729
402,44527938,36251,771,36251,771
368,44163126,38108,853,38108,853
421,44236564,51128,1127,51128,1127
405,44337036,56275,1285,56275,1285
450,44399524,69066,1509,69066,1509
422,44051032,87889,1956,87889,1956
504,44550480,113709,2689,113709,2689
496,44799754,163276,3772,163276,3772
568,44604772,210237,5127,210237,5127
516,44805292,224154,5518,224154,5518
650,45128510,284600,7191,284600,7191
701,45829958,378230,10164,378230,10164
756,45972088,449511,12781,449511,12781
956,46552254,479330,14042,479330,14042
818,47024322,549182,16620,549182,16620
926,48167048,609038,19917,609038,19917
1157,48637242,760154,27432,760154,27432
1168,50403876,886843,35992,886843,35992
1150,50638870,1052138,49247,1052138,49247
1292,51816606,1260433,68591,1260433,68591
1354,54154408,1592230,102491,1592230,102491
1669,58354119,2070723,152650,2070723,152650
1549,64584424,2970013,248298,2970013,248298
1766,77932457,4660483,428990,4660483,428990
2418,109870826,8279756,818544,8279756,818544
3408,205036693,17768954,1850577,17768954,1850577
4852,989692600,158086944,5520234,158086944,5520234
28408,502012649,437868749,69362378,437868749,69362378
