1236,32304928,22055,376,22055,376,0,0
1205,32309024,22872,400,22872,400,0,0
1226,32331264,47180,814,47180,814,0,0
1201,32317704,61849,1068,61849,1068,0,0
1268,32329216,80172,1378,80172,1378,0,0
1257,32351056,125723,2162,125723,2162,0,0
1309,32411144,266724,4630,266724,4630,0,0
1298,32445472,400080,7032,400080,7032,0,0
1401,32483280,540068,9530,540068,9530,0,0
1492,32600184,961199,17310,961199,17310,0,0
1698,32576864,1631325,30370,1631325,30370,0,0
1974,32555968,2692333,53022,2692333,53022,0,0
2484,32324600,4526781,98782,4526781,98782,0,0
3158,35857704,7929175,214152,7929175,214152,0,0
3972,45671464,14857609,593178,14857609,593178,0,0
6263,109970664,48759744,2934760,48759744,2934760,0,0
27410,22184696,73489442,6819414,73489442,6819414,0,0
