79,265060240,0,0,0,0
920,264935776,1404,27,0,0
935,265490056,5938,115,1404,27
1041,265518728,12292,238,5938,115
963,267057240,21838,424,12292,238
960,265343768,36510,711,21838,424
1026,264970512,64371,1267,36510,711
941,265267768,118073,2337,64371,1267
1013,264585280,219335,4425,118073,2337
1085,264244552,414099,8561,219335,4425
1118,266372184,776770,17115,414099,8561
1236,265836544,1405478,34694,776770,17115
1372,266719288,2466374,75336,1405478,34694
1970,267689088,4002168,174003,2466374,75336
2102,276583440,6878657,449186,4002168,174003
2526,295683344,16591181,1430089,6878657,449186
36635,490795592,339601270,9646403,257872407,1565785
40383,502012649,440124043,69362378,440124043,69362378
