1000,135731784,360995,9123,274286,6526
1082,136916608,418615,11138,360995,9123
1198,138475992,476864,13285,418615,11138
1222,138291752,595177,17739,476864,13285
1377,139324360,696644,23047,595177,17739
1467,139448224,827994,30981,696644,23047
1480,139660720,982706,42277,827994,30981
1725,140962080,1189377,60630,982706,42277
1662,140649064,1430219,83936,1189377,60630
1789,143682592,1789440,120221,1430219,83936
1711,144707296,2329930,175415,1789440,120221
1841,148006416,3227447,267102,2329930,175415
1992,148574048,4835655,432069,3227447,267102
1952,159197472,7965203,753350,4835655,432069
2193,173586080,15032222,1484098,7965203,753350
2520,215940144,36200899,3703622,15032222,1484098
8265,491315824,376257487,17785875,217652916,3703622
26060,502012649,437868749,69362378,437868749,69362378
