1634,30900056,708,12,708,12,0,0
1612,30900608,1534,26,1534,26,0,0
1651,30905184,11334,200,11334,200,0,0
1645,30911488,14986,260,14986,260,0,0
1645,30923144,33336,570,33336,570,0,0
1645,30941008,44339,756,44339,756,0,0
1648,30961592,56913,972,56913,972,0,0
1630,30978560,51536,880,51536,880,0,0
1607,30996896,57447,978,57447,978,0,0
1653,31020000,64421,1100,64421,1100,0,0
1663,31050328,89367,1524,89367,1524,0,0
1611,31089816,124348,2140,124348,2140,0,0
1642,31139488,137739,2352,137739,2352,0,0
1654,31226192,227432,3888,227432,3888,0,0
1728,31311480,244547,4182,244547,4182,0,0
1807,31416616,316152,5440,316152,5440,0,0
1824,31562424,477549,8222,477549,8222,0,0
2018,31766648,667705,11502,667705,11502,0,0
1929,32096256,1055537,18252,1055537,18252,0,0
2023,32598480,1678464,29320,1678464,29320,0,0
2328,33344496,2518781,44320,2518781,44320,0,0
2837,34613152,4206689,75312,4206689,75312,0,0
3620,36945584,7427866,138812,7427866,138812,0,0
5312,41825792,13945909,284828,13945909,284828,0,0
8590,57326424,31505837,844394,31505837,844394,0,0
13834,192826576,106163356,5454030,106163356,5454030,0,0
46875,38759067,123017726,9169158,121836026,9169158,0,0
