215,983821208,0,0,0,0,0,0
4670,984081120,236,4,236,4,0,0
4346,983477224,354,6,354,6,0,0
4415,983447568,354,6,354,6,0,0
4605,983173584,236,4,236,4,0,0
4372,983510688,236,4,236,4,0,0
4518,983603128,354,6,354,6,0,0
4590,983995848,708,12,708,12,0,0
4387,985135200,2006,34,2006,34,0,0
4384,984063424,3658,62,3658,62,0,0
4572,983553688,7552,128,7552,128,0,0
4431,989203248,17936,304,17936,304,0,0
4395,985397800,44208,750,44208,750,0,0
4447,986349392,127101,2180,127101,2180,0,0
4695,991463512,366659,6344,366659,6344,0,0
4710,995682552,1151924,20738,1151924,20738,0,0
8918,989483032,4301068,92820,4301068,92820,0,0
8212,1027314280,14010316,537550,14010316,537550,0,0
9792,1316346408,67114022,4164104,67114022,4164104,0,0
73697,149236772,742081170,86309604,742081170,86309604,0,0
