345,4070042352,0,0,0,0,0,0
1645,4070372528,708,12,708,12,0,0
1544,4069224376,6136,104,6136,104,0,0
1700,4068745752,4248,72,4248,72,0,0
1633,4068163000,4248,72,4248,72,0,0
1598,4067972512,2832,48,2832,48,0,0
1675,4066430768,5664,96,5664,96,0,0
1642,4063251104,6726,114,6726,114,0,0
1559,4060782752,7533,130,7533,130,0,0
1631,4063167808,8881,152,8881,152,0,0
1656,4064132552,6136,104,6136,104,0,0
1575,4063010296,7856,136,7856,136,0,0
1639,4058224232,13334,226,13334,226,0,0
1657,4059859520,17464,296,17464,296,0,0
1609,4058033048,8378,142,8378,142,0,0
1705,4056723088,14514,246,14514,246,0,0
1563,4058060696,12264,210,12264,210,0,0
1619,4060199456,25713,438,25713,438,0,0
1636,4057717128,29854,506,29854,506,0,0
1609,4049968776,36260,616,36260,616,0,0
1540,4054557256,40885,698,40885,698,0,0
1519,4056042824,47501,808,47501,808,0,0
1611,4051707672,71683,1220,71683,1220,0,0
1642,4051901872,120222,2048,120222,2048,0,0
1719,4049182088,162166,2758,162166,2758,0,0
1592,4063464320,206480,3538,206480,3538,0,0
1584,4064363584,280194,4790,280194,4790,0,0
1596,4065225016,353102,6040,353102,6040,0,0
1649,4076460864,460720,7892,460720,7892,0,0
1644,4073385048,604472,10346,604472,10346,0,0
1710,4064336264,769669,13188,769669,13188,0,0
1782,4093842360,1128716,19408,1128716,19408,0,0
1706,4093443920,1459370,25138,1459370,25138,0,0
1765,4095550440,2097309,36278,2097309,36278,0,0
1805,4082049496,2729166,47398,2729166,47398,0,0
1898,4063818376,3921289,68768,3921289,68768,0,0
1837,4078177976,5627138,100048,5627138,100048,0,0
2063,4079659904,7794013,141046,7794013,141046,0,0
2160,4089050800,11003481,204150,11003481,204150,0,0
2372,4106304144,15866563,306668,15866563,306668,0,0
2951,4105338840,23191929,477582,23191929,477582,0,0
2840,4114715520,34129479,778526,34129479,778526,0,0
2998,4123792888,48948416,1294330,48948416,1294330,0,0
3391,4181758232,70626346,2300250,70626346,2300250,0,0
3615,4251562208,106686485,4421622,106686485,4421622,0,0
5894,4399764232,186086983,9488542,186086983,9488542,0,0
4633,4842601520,423043087,24896446,423043087,24896446,0,0
8090,7162214440,1643489501,105911166,1643489501,105911166,0,0
159792,1081646618,7136633162,857190792,7136633162,857190792,0,0
