64,2282724576,0,0,0,0
380,2271397368,2349,144,2349,144
355,2274240560,2679,148,2679,148
401,2271255872,54833,2130,54833,2130
414,2265731176,19710,898,19710,898
396,2279692672,32001,1238,32001,1238
381,2270810024,109363,7276,109363,7276
412,2274700128,113195,9480,113195,9480
500,2272328824,420336,51146,420336,51146
467,2274108464,713236,82070,713236,82070
451,2271638800,826165,96674,826165,96674
494,2261875664,880565,94442,880565,94442
583,2251490896,1205088,130794,1205088,130794
661,2298678600,2731863,344168,2731863,344168
774,2292509736,4527547,610750,4527547,610750
773,2283234552,8095295,1179928,8095295,1179928
1063,2311362984,13921781,2167208,13921781,2167208
1007,2350146256,23913039,3834346,23913039,3834346
1438,2421424584,57598982,9596058,57598982,9596058
2468,2696884752,203030273,33987284,203030273,33987284
12592,4532053204,3479834931,490883280,3479834931,490883280
91594,1081646618,5726321994,857190792,5726321994,857190792
