301,5416761776,0,0,0,0
1940,5422916568,114,2,114,2
1992,5423895176,228,4,228,4
1837,5419937472,185,4,185,4
1960,5419317608,570,10,570,10
1930,5431210968,1577,30,1577,30
2126,5445292048,3878,78,3878,78
1858,5422030432,8773,176,8773,176
1944,5418514888,15439,304,15439,304
2036,5438832920,36081,732,36081,732
2013,5433325016,88378,1828,88378,1828
2125,5428469912,191504,4328,191504,4328
3088,5453263240,440491,11118,440491,11118
2879,5419007480,1103165,30116,1103165,30116
3355,5461511304,3038172,87196,3038172,87196
3999,5436200648,9621410,292456,9621410,292456
4721,5540587128,37027125,1299768,37027125,1299768
5890,4532053204,188337938,10622118,188337938,10622118
105767,1081646618,5717776337,857190792,5717776337,857190792
