189,5481818480,0,0,0,0
2709,5446769464,114,2,114,2
1849,5479206288,228,4,228,4
1771,5472317872,185,4,185,4
2164,5394259664,570,10,570,10
1758,5398297008,1577,30,1577,30
1900,5446009824,3794,78,3794,78
2169,5414879416,8141,176,8141,176
2661,5536187200,14021,302,14021,302
1936,5509386032,31205,732,31205,732
1971,5431253008,71128,1824,71128,1824
1847,5419663808,156711,4322,156711,4322
2072,5408337176,375495,11086,375495,11086
2225,5424152440,918612,30006,918612,30006
2962,5476667752,2151001,86776,2151001,86776
3210,5488522664,5157069,290632,5157069,290632
3659,5501004592,17702494,1280278,17702494,1280278
4367,4509862330,115924424,9483618,115924424,9483618
172032,143512993,5715490578,856357353,5715490578,856357353
25921,1081646618,848746185,136950782,848746185,136950782
