47,17780720,0,0,0,0
197,17794942,0,0,0,0
287,17795248,6162,158,6162,158
341,17796984,4957,158,4957,158
267,17842690,6246,158,6246,158
370,17909756,29271,711,29271,711
374,18095454,60128,1502,60128,1502
532,18398137,289898,8563,289898,8563
597,18653531,461028,15596,461028,15596
678,19047709,564389,19068,564389,19068
763,19503798,730519,28017,730519,28017
911,20281403,821609,34580,821609,34580
910,21503298,1061349,53306,1061349,53306
995,23654589,1451163,92325,1451163,92325
1173,27924954,2105556,165624,2105556,165624
1439,38309513,3685338,346814,3685338,346814
2364,90306025,8672435,923666,8672435,923666
30000,1305054304,93579180,4058730,93579180,4058730
28272,502012649,437868749,69362378,437868749,69362378
