52,11111576,0,0,0,0
229,11138230,0,0,0,0
231,11156404,16012,475,16012,475
277,11169430,26543,784,26543,784
344,11198534,43335,1244,43335,1244
434,11213272,71260,2039,71260,2039
357,11242448,60785,1726,60785,1726
318,11260350,67681,2034,67681,2034
357,11286066,92530,2631,92530,2631
338,11325886,101326,3027,101326,3027
347,11391502,151403,4557,151403,4557
247,11447394,181754,5609,181754,5609
324,11600568,248723,6652,248723,6652
413,11798994,339614,11290,339614,11290
517,12688399,513531,18382,513531,18382
731,13701726,1205663,72479,1205663,72479
669,15689638,1531713,112098,1531713,112098
789,18583601,2120852,185834,2120852,185834
816,26016388,2951406,293151,2951406,293151
1436,57542227,5842005,654673,5842005,654673
5796,1769572144,73967752,2957242,73967752,2957242
45812,1081646618,857332350,136950782,857332350,136950782
