387,426907824,0,0,0,0,0,0
6285,426896792,118,2,118,2,0,0
6285,426909456,118,2,118,2,0,0
6272,426889784,118,2,118,2,0,0
6289,426905536,236,4,236,4,0,0
6440,426894432,708,12,708,12,0,0
6197,426892216,2714,46,2714,46,0,0
6165,426905680,7080,120,7080,120,0,0
6243,426966520,12862,218,12862,218,0,0
6356,426999832,25016,424,25016,424,0,0
6442,427212032,56711,962,56711,962,0,0
6477,427412888,135522,2300,135522,2300,0,0
6586,427659064,330904,5618,330904,5618,0,0
6596,428646400,890299,15190,890299,15190,0,0
6927,431525488,2686562,46414,2686562,46414,0,0
9027,444172784,9746807,176682,9746807,176682,0,0
14833,508449200,39383914,899624,39383914,899624,0,0
23790,1001802416,151063352,6832676,151063352,6832676,0,0
86802,280800871,491437700,33037894,446961658,33037894,0,0
