94,1150453760,0,0,0,0,0,0
768,1150105304,15032,278,15032,278,0,0
970,1152463800,3223134,73622,3223134,73622,0,0
851,1147524496,2370474,49072,2370474,49072,0,0
957,1156343144,8664351,273658,8664351,273658,0,0
1171,1152555024,8592751,260000,8592751,260000,0,0
1338,1160161016,17482967,820616,17482967,820616,0,0
1273,1170091992,29253403,1634994,29253403,1634994,0,0
1688,1212923648,70710759,4613182,70710759,4613182,0,0
2679,1382802248,295627085,21150394,295627085,21150394,0,0
23921,5223878488,6380418875,452423994,6380418875,452423994,0,0
115181,502012649,4572648319,533460390,4572648319,533460390,0,0
