4446,47079400,1025,39,0,0
289,46806024,1025,39,1025,39
15895,46799136,1938,76,977,39
210,48722184,10103,427,1938,76
206,48826544,10103,427,10103,427
244,49019424,7572,348,7572,311
211,48434064,14833,770,7508,348
261,47618888,14833,770,14833,770
230,47445328,16816,949,12325,720
220,45995272,16816,949,16816,949
250,47168976,16941,908,13250,785
235,45446088,16941,920,16941,908
210,46924576,16549,920,16549,920
211,47659288,13973,809,13973,809
279,47818984,13955,772,12531,641
227,48415968,13955,772,13955,772
217,47172712,9289,429,9289,429
219,48651848,9391,503,7338,349
231,47200384,11997,537,9391,503
236,47215040,14397,729,11997,537
238,47990848,14835,771,14397,729
232,48575176,14835,853,14835,771
229,47934680,17492,1127,14710,853
256,46648120,18116,1285,17492,1127
223,47731696,21871,1509,18116,1285
223,48471640,25951,1956,21871,1509
268,48386264,31477,2689,25951,1956
278,46703992,39546,3772,31477,2689
283,47355240,49150,5127,39546,3772
279,47386280,52188,5518,49150,5127
282,47211952,64695,7191,52188,5518
265,46888928,85840,10164,64695,7191
288,48415744,104834,12781,85840,10164
301,48744432,113861,14042,104834,12781
309,48397984,133039,16620,113861,14042
295,47221648,157275,19917,133039,16620
269,49975592,211661,27432,157275,19917
344,47940832,274365,35992,211661,27432
299,48711608,370475,49247,274365,35992
316,48734904,511422,68591,370475,49247
345,48856904,756075,102491,511422,68591
346,52179896,1121838,152650,756075,102491
384,53687992,1813399,248298,1121838,152650
401,56527744,3124451,428990,1813399,248298
492,63391696,5964003,818544,3124451,428990
653,74788448,13791467,1850577,5964003,818544
1150,127161288,42207937,5520234,13791467,1850577
6178,499200216,408321845,31163761,158064979,5520234
35829,502012649,425299655,69362378,425299655,69362378
