66,44808152,0,0,0,0
413,44833998,0,0,0,0
468,44820622,1812,39,1812,39
473,44814188,1860,39,1860,39
351,44907358,3490,76,3490,76
413,44909996,19537,427,19537,427
464,44883904,14007,311,14007,311
430,45060382,15806,348,15806,348
463,44961342,35136,770,35136,770
481,44941204,32891,720,32891,720
407,44888100,43573,949,43573,949
513,44988510,36812,785,36812,785
416,44665368,41183,908,41183,908
500,44346648,42516,920,42516,920
430,44487542,36725,809,36725,809
386,44479156,29136,641,29136,641
468,44412524,34603,772,34603,772
525,44548578,19653,429,19653,429
482,44518968,15423,349,15423,349
493,44465870,23309,503,23309,503
10098,44543900,23527,537,23527,537
8621,44555522,33940,729,33940,729
434,44543832,36251,771,36251,771
376,44165142,38108,853,38108,853
450,44244640,51128,1127,51128,1127
427,44344300,56275,1285,56275,1285
438,44393702,69066,1509,69066,1509
490,43991604,87889,1956,87889,1956
505,44556114,113709,2689,113709,2689
558,44811070,163276,3772,163276,3772
542,44578566,210239,5127,210239,5127
610,44804006,224150,5518,224150,5518
617,45101816,284599,7191,284599,7191
767,45820288,378230,10164,378230,10164
800,45991566,449511,12781,449511,12781
833,46560662,479330,14042,479330,14042
859,47088538,549181,16620,549181,16620
1030,48212296,609039,19917,609039,19917
989,48687680,760157,27432,760157,27432
1070,50508908,886841,35992,886841,35992
1134,50681732,1052143,49247,1052143,49247
1253,51779746,1260432,68591,1260432,68591
1334,54404022,1592226,102491,1592226,102491
1402,58637558,2070722,152650,2070722,152650
1579,64898270,2970019,248298,2970019,248298
1708,77621843,4660482,428990,4660482,428990
2105,109774162,8279800,818544,8279800,818544
3348,215455521,17769022,1850577,17769022,1850577
4480,994833888,158089092,5520234,158089092,5520234
27312,502012649,437868749,69362378,437868749,69362378
